Titolo;Autore;Author_;Genere;Vote;DateRead;Commento
La crisi del Mondo moderno;René Guénon;Guénon, René;essay;;;
Simboli della Scienza sacra;René Guénon;Guénon, René;essay;1;;
I reietti dell'altro pianeta;Ursula K. Le Guin;Guin, Ursula K. Le;novel;;;
Il mondo di Rocannon;Ursula K. Le Guin;Guin, Ursula K. Le;novel;;;
La falce dei cieli;Ursula K. Le Guin;Guin, Ursula K. Le;novel;;;
La mano sinistra delle tenebre;Ursula K. Le Guin;Guin, Ursula K. Le;novel;;;
I racconti di Belzebù a suo nipote;G.I. Gurdjieff;Gurdjieff, G.I.;essay;1;;
Incontri con Uomini Straordinari;G.I. Gurdjieff;Gurdjieff, G.I.;essay;1;;
La vita è reale solo quando io sono;G.I. Gurdjieff;Gurdjieff, G.I.;essay;;;
Vedute sul mondo reale;G.I. Gurdjieff;Gurdjieff, G.I.;essay;;;
21 lezioni per il XXI secolo ;Yuval Noah Harari;Harari, Yuval Noah;essay;1;;
Homo Deus. Breve storia del futuro;Yuval Noah Harari;Harari, Yuval Noah;essay;1;;
Sapiens. Da animali a dei. Breve storia dell'umanità;Yuval Noah Harari;Harari, Yuval Noah;essay;1;2016/01/01;
The Nature of Space and Time;Stephen Hawking, Roger Penrose;Hawking,Penrose ;steam;;;
La luna è una severa maestra;Robert A. Heinlein;Heinlein, Robert A.;novel;;;
Straniero in terra straniera;Robert A. Heinlein;Heinlein, Robert A.;novel;;;
Dune (ciclo completo di 6 libri);Frank Herbert;Herbert, Frank;novel;1;;
Il giuoco delle perle di vetro;Hermann Hesse;Hesse, Hermann;novel;1;;
Il pellegrinaggio in Oriente;Hermann Hesse;Hesse, Hermann;novel;1;1992/01/01;
Siddhartha;Hermann Hesse;Hesse, Hermann;novel;1;;
The Gamer's Brain: How Neuroscience and UX Can Impact Video Game Design;Celia Hodent;Hodent;gamedesign;;;
Considerazioni filosofiche del gatto Murr;Ernst T.A. Hoffmann;Hoffmann;novel;1;;
Ambigrammi: un microcosmo ideale per lo studio della creatività;Douglas R. Hofstadter;Hofstadter, Douglas R.;essay;;;
Gödel, Escher, Bach - Un'eterna ghirlanda brillante;Douglas R. Hofstadter;Hofstadter, Douglas R.;essay;1;;
I Am a Strange Loop;Douglas R. Hofstadter;Hofstadter, Douglas R.;essay;;;
L'io della mente. Fantasie e riflessioni sul sé e sull'anima;Douglas R. Hofstadter;Hofstadter, Douglas R.;essay;;;
Metamagical Themas: Questing for the Essence of Mind and Pattern;Douglas R. Hofstadter;Hofstadter, Douglas R.;essay;;;
Iperione;Friedrich Hölderlin;Hölderlin, Friedrich;classic;;;
The Science of Accelerated Learning;Peter Hollins;Hollins, Peter;gamedesign;;;Advanced Strategies for Quicker Comprehension, Greater Retention, and Systematic Expertise
A History of the Future in 100 Objects;Adrian Hon;Hon, Adrian;essay;;;
Homo ludens;Johan Huizinga;Huizinga;gamedesign;;;
The Shamutanti Hills (Fighting Fantasy: Sorcery!, #1);Steve Jackson;Jackson, Steve;gamedesign;;1986/01/01;
The Nearly Ultimate Guide to Better Writing;Mary Jaksch;Jaksch, Mary;essay;;;
L'uomo e i suoi simboli;C.G. Jung;Jung, C.G.;essay;;;
Psicologia e Alchimia;C.G. Jung;Jung, C.G.;essay;;;
Un mito moderno. Le cose che si vedono in cielo;C.G. Jung;Jung, C.G.;essay;;;
A Casual Revolution;Juul, Jesper.;Juul, Jesper.;essay;;;
Educational Game Design Fundamentals;George Kalmpourtzis;Kalmpourtzis, George;gamedesign;;;
The Gamification of Learning and Instruction Fieldbook;Karl M. Kapp, Lucas Blair, Rich Mesch;Kapp, Karl M.;gamedesign;;;
Miti e misteri;Karl Kerényi;Kerényi, Karl;essay;;;
The C Programming Language;Brian W. Kernighan;Kernighan, Brian W.;steam;;1987/01/01;
Il miglio verde;Stephen King;King, Stephen;novel;1;;
It;Stephen King;King, Stephen;novel;;;
L’ombra dello scorpione;Stephen King;King, Stephen;novel;1;;
Shining;Stephen King;King, Stephen;novel;;;
No Logo;Naomi Klein;Klein, Naomi;essay;1;;
The Shock Doctrine: The Rise of Disaster Capitalism;Naomi Klein;Klein, Naomi;essay;;;
This Changes Everything: Capitalism vs. The Climate;Naomi Klein;Klein, Naomi;essay;1;;
New Tactical Games With Dice And Cards;Reiner Knizia;Knizia, Reiner;gamedesign;;;
Theory of Fun for Game Design;Raph Koster;Koster, Raph;gamedesign;;;
Buon gioco;Bernard de Koven;Koven, Bernard de;gamedesign;;;
The infinite Playground;Bernard de Koven;Koven, Bernard de;gamedesign;;;
How to Create Machine Superintelligence: A Quick Journey through Classical/Quantum Computing, Artificial Intelligence, Machine Learning, and Neural Networks;Artem Kovera ;Kovera ;steam;;;
The Singularity is Near: When Humans Transcend Biology;Ray Kurzweil;Kurzweil, Ray;steam;1;;
Discorso sulla servitù volontaria ;Etienne de La Boëtie ;La Boëtie, Etienne de ;essay;;;
Life Ascending: The Ten Great Inventions of Evolution;Nick Lane;Lane, Nick;essay;;2018/04/23;
Vital Question: Why is Life the Way it is? ;Nick Lane;Lane, Nick;steam;;;
Come insegnare l’intelligenza ai vostri bambini;Nessia Laniado;Laniado;edu;;;
A Different Universe;Robert Laughlin;Laughlin, Robert;steam;;;
Fare colpo con le parole;Sam Leith;Leith, Sam;essay;;;
The History of Magic;Éliphas Lévi;Lévi, Éliphas;essay;;;
Fatti di musica. La scienza di un'ossessione umana;Daniel J. Levitin;Levitin;steam;1;;
Freakonomics: A Rogue Economist Explores the Hidden Side of Everything;Steven D. Levitt;Levitt, Steven D.;essay;;;
Il fuoco liberatore;Pierre Lévy;Lévy, Pierre;essay;;2019/01/07;
L'intelligenza collettiva. Per un'antropologia del cyberspazio;Pierre Lévy;Lévy, Pierre;essay;;;
Digital Games for early grade literacy;Henneth Lim;Lim, Henneth;gamedesign;;;
Del Sublime;Pseudo Longino;Longino;classic;;1994/01/01;
What Is Data Science?;Mike Loukides ;Loukides;steam;;;
The Complete Fiction;H.P. Lovecraft;Lovecraft, H.P.;novel;1;;
Her-Bak Cecio: The Living Face of Ancient Egypt;Isha Schwaller de Lubicz;Lubicz, Isha Schwaller de;novel;1;;
Scacchi e scimpanzé. Matematica per giocatori razionali ;Roberto Lucchetti;Lucchetti, Roberto ;steam;;;
Verde brillante, sensibilità e intelligenza del mondo vegetale;Stefano Mancuso;Mancuso;steam;;;
Le 10 mappe che spiegano il mondo;Tim Marshall;Marshall, Tim;essay;;2020/07/27;
Clean Code: A Handbook of Agile Software Craftsmanship;Robert C. Martin;Martin, Robert C.;steam;;2012/01/01;
Reality is Broken: Why Games Make Us Better and How They Can Change the World;Jane McGonigal;McGonigal, Jane;gamedesign;1;;
SuperBetter: A Revolutionary Approach to Getting Stronger, Happier, Braver and More Resilient;Jane McGonigal;McGonigal, Jane;gamedesign;;;
"Moby Dick; Or, The Whale";Herman Melville;Melville, Herman;novel;;;
99 Bottles of OOP;Metz, Sandi, Owen, Katrina, Stankus;Metz;steam;;;
Il Golem;Gustav Meyrink;Meyrink, Gustav;novel;;;
L'angelo della finestra d'occidente ;Gustav Meyrink;Meyrink, Gustav;novel;;;
La faccia verde;Gustav Meyrink;Meyrink, Gustav;novel;1;;
ll domenicano bianco;Gustav Meyrink;Meyrink, Gustav;novel;;;
Serious Games : Games That Educate, Train, and Inform;David Michael;Michael, David;gamedesign;;;
Alchimia. Il cammino della potenza;Edi Minguzzi;Minguzzi, Edi;essay;;1989/01/01;
Il codice della follia;Edi Minguzzi;Minguzzi, Edi;novel;;2013/07/01;
L’Enigma Forte;Edi Minguzzi;Minguzzi, Edi;essay;1;;
The Emotion Machine;Marvin Minsky;Minsky, Marvin;steam;;;
Cloud Atlas: A Novel;David Mitchell;Mitchell, David;novel;1;;
Artificial Intelligence;Melanie Mitchell;Mitchell, Melanie;ai;1;;
